N,N,N,N,N,N,N,N,N,N,N
N,N,N,N,Fp1,Fpz,Fp2,N,N,N,N
N,N,N,AF7,AF3,AFz,AF4,AF8,N,N,N
N,F7,F5,F3,F1,Fz,F2,F4,F6,F8,N
N,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,N
T9,T7,C5,C3,C1,Cz,C2,C4,C6,T8,T10
N,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,N
N,N,P5,P3,P1,Pz,P2,P4,P6,P8,N
N,N,N,PO7,PO3,POz,PO4,PO8,N,N,N
N,N,N,N,O1,Oz,O2,N,N,N,N
N,N,N,N,N,Iz,N,N,N,N,N
